minimum_nights,calculated_host_listings_count,neighbourhood_group,room_type,price
0.0,0.0,0.75,0.0,34
0.09090909090909091,0.0,0.0,0.0,45
0.0,0.0,0.0,0.0,55
0.0,0.09302325581395349,0.0,0.0,53
0.36363636363636365,0.18604651162790697,0.5,0.0,60
0.1818181818181818,0.18604651162790697,0.5,1.0,30
0.36363636363636365,0.18604651162790697,0.0,0.0,35
0.0,0.0,0.25,0.0,45
0.0,0.046511627906976744,0.5,0.0,60
0.0,0.046511627906976744,0.5,0.0,49
0.0,0.16279069767441862,0.0,0.0,56
0.0,0.023255813953488372,0.0,0.0,35
0.0,0.046511627906976744,0.0,0.0,50
0.0,0.0,0.0,1.0,28
0.0,0.20930232558139533,1.0,1.0,45
0.4545454545454545,0.023255813953488372,0.5,0.0,42
0.09090909090909091,0.13953488372093023,0.0,0.0,60
0.9090909090909091,0.18604651162790697,0.0,1.0,24
0.0,0.5116279069767442,0.0,0.0,55
0.1818181818181818,0.023255813953488372,1.0,0.0,40
0.09090909090909091,0.0,0.5,0.0,60
0.0,0.023255813953488372,0.0,0.0,48
0.1818181818181818,0.6976744186046511,0.0,1.0,39
